Date,Hospital_Type,Daily_Status_Label,Simulated_Month,Tourist_Season_Phase,Total_Patient_Volume,NEDOCS_Total_Score,NEDOCS_Param_1_ED_Total_Beds,NEDOCS_Param_2_Hospital_Total_Beds,NEDOCS_Param_3_ED_Patients_Count,NEDOCS_Param_4_Patients_Waiting_Admit,NEDOCS_Param_5_Longest_Wait_Minutes,NEDOCS_Param_6_Admitted_Waiting_Count,NEDOCS_Param_7_ED_Respirators_In_Use,Average_Wait_Time_Mins,Bed_Occupancy_Rate_%,Active_Doctors_On_Shift,Active_Nurses_On_Shift,Dominant_Chief_Complaint,High_Acuity_ESI_1_2_%,Average_Patient_Age,Pediatric_Patient_%,Geriatric_Patient_%,Total_Tourist_Patient_%,Medical_Tourist_Patient_%,Leisure_Tourist_Patient_%,Air_Quality_Index_AQI,Weather_Condition,Avg_Temperature_C
1/1/1996,Big Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),356,31,60,850,129,2,46,1,10,23,63.6,39,127,Routine Health Checkup / Minor Elective Ailment,17.1,44.6,9.4,33.5,26.5,18.3,8.2,71,Clear / Sunny & Pleasant,25.9
1/1/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),82,31,15,60,28,2,34,1,2,17,46.3,12,21,Routine Health Checkup / Minor Elective Ailment,6,47.2,15.9,31.5,4.3,2.3,2,125,Clear / Sunny & Pleasant,30.2
1/2/1996,Big Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),234,32,60,850,92,3,148,2,9,37,58.4,40,116,Routine Health Checkup / Minor Elective Ailment,23.1,33.8,13.7,14.2,20.6,11.1,9.5,101,Clear / Sunny & Pleasant,29
1/2/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),93,16,15,60,25,1,26,0,1,13,61.3,10,25,Routine Health Checkup / Minor Elective Ailment,5.8,47,16.4,30.1,2.4,1.3,1.1,123,Clear / Sunny & Pleasant,20.7
1/3/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),374,35,60,850,114,1,108,0,8,36,73.3,44,115,Routine Health Checkup / Minor Elective Ailment,19.4,32.5,14.2,33.9,26.1,12.2,13.9,70,Clear / Sunny & Pleasant,28.2
1/3/1996,Small Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),75,12,15,60,26,1,124,0,4,31,62.4,12,18,Routine Health Checkup / Minor Elective Ailment,6,34.3,20.4,27.4,6.2,3.4,2.8,114,Clear / Sunny & Pleasant,24
1/4/1996,Big Urban (Delhi),Slightly Busy,3,Peak Tourist Season (Oct-Mar),696,74,60,850,224,116,242,94,17,121,80.7,36,109,Allergies / Minor Respiratory,17.6,31.7,27.1,20.2,14.7,6,8.7,346,Moderate Smog,36.3
1/4/1996,Small Urban (Delhi),Not Busy,2,Peak Tourist Season (Oct-Mar),70,48,15,60,22,2,98,1,4,49,73.3,6,21,Routine Health Checkup / Minor Elective Ailment,3.3,44.4,24,20.6,6.2,3.7,2.5,112,Clear / Sunny & Pleasant,26
1/5/1996,Big Urban (Delhi),Slightly Busy,2,Peak Tourist Season (Oct-Mar),439,97,60,850,130,53,280,42,14,70,78.1,54,91,Gastrointestinal Infection,25.5,47.4,13.5,36.7,19.2,8.8,10.4,210,Pleasant Haze,27.2
1/5/1996,Small Urban (Delhi),Slightly Busy,1,Peak Tourist Season (Oct-Mar),164,85,15,60,42,19,285,15,1,95,75.6,10,23,Viral Fever / Influenza,1.7,32.6,12.7,36.1,2.2,1.4,0.8,387,Pleasant Haze,25.9
1/6/1996,Big Urban (Delhi),Not Busy,3,Peak Tourist Season (Oct-Mar),387,40,60,850,137,1,105,0,19,35,70.3,48,126,Routine Health Checkup / Minor Elective Ailment,21.4,53.6,22.7,26.3,16.5,9.1,7.4,115,Clear / Sunny & Pleasant,26.8
1/6/1996,Small Urban (Delhi),Not Busy,10,Peak Tourist Season (Oct-Mar),82,11,15,60,29,2,57,1,2,19,42,8,24,Routine Health Checkup / Minor Elective Ailment,3.3,49,25.5,35.3,3.6,2.3,1.3,70,Clear / Sunny & Pleasant,27
