Date,Hospital_Type,Daily_Status_Label,Simulated_Month,Agricultural_Season_Phase,Total_Patient_Volume,NEDOCS_Total_Score,ED_Total_Beds,Hospital_Total_Beds,Total_Patients_in_ED,Patients_Waiting_for_Admit_Bed,Longest_Admit_Wait_Time_Minutes,Admitted_Patients_Waiting_in_ED,ED_Respirators_in_Use,Average_Wait_Time_Mins,Bed_Occupancy_Rate_%,Active_Doctors_On_Shift,Active_Nurses_On_Shift,Dominant_Chief_Complaint,High_Acuity_ESI_1_2_%,Average_Patient_Age,Pediatric_Patient_%,Geriatric_Patient_%,Migrant_Laborer_Patient_%,Agricultural_Trauma_Patient_%,Toxicology_Animal_Bite_%,Air_Quality_Index_AQI,Weather_Condition,Avg_Temperature_C
1996-01-01,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,81,3,15,100,19,0,33,0,1,11,37.1,17,33,Routine Antenatal / Minor Infection / General Checkup,10.9,42.6,33.7,19.2,8.2,7.2,2.8,57,Clear / Pleasant,30.0
1996-01-01,Small Rural (Delhi Outskirts),Slightly Busy,11,Active Harvest Season,55,89,3,10,19,5,104,3,0,52,72.0,2,7,Gastroenteritis,1.6,55.0,23.1,16.9,18.5,20.0,4.2,225,Dry Cold,11.1
1996-01-02,Big Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,131,10,15,100,63,2,10,1,4,5,51.5,14,30,Routine Antenatal / Minor Infection / General Checkup,13.6,56.0,26.9,37.7,38.3,16.3,3.7,138,Clear / Pleasant,20.3
1996-01-02,Small Rural (Delhi Outskirts),Not Busy,3,Off-Season / Sowing,15,13,3,10,4,0,7,0,0,7,45.8,1,8,Routine Antenatal / Minor Infection / General Checkup,0.0,53.2,19.5,30.9,7.5,6.8,1.2,95,Clear / Pleasant,28.1
1996-01-03,Big Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,125,25,15,100,56,2,90,1,4,30,34.6,16,44,Routine Antenatal / Minor Infection / General Checkup,8.1,42.1,17.2,27.2,27.8,21.9,5.0,76,Clear / Pleasant,22.8
1996-01-03,Small Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,25,17,3,10,10,2,9,1,1,9,62.0,1,4,Routine Antenatal / Minor Infection / General Checkup,0.1,47.7,18.6,37.1,33.6,18.2,3.6,50,Clear / Pleasant,24.0
1996-01-04,Big Rural (Delhi Outskirts),Slightly Busy,11,Active Harvest Season,239,80,15,100,56,29,174,25,4,87,70.7,16,32,Pesticide Exposure (Mild),9.9,35.1,23.2,26.4,36.1,11.8,2.0,244,Light Rain,11.9
1996-01-04,Small Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,32,41,3,10,11,1,18,0,1,9,56.1,1,8,Routine Antenatal / Minor Infection / General Checkup,3.1,37.9,21.5,30.3,32.5,18.1,2.1,134,Clear / Pleasant,21.7
1996-01-05,Big Rural (Delhi Outskirts),Slightly Busy,10,Active Harvest Season,199,75,15,100,61,28,294,24,1,98,91.4,10,27,Pesticide Exposure (Mild),9.3,38.3,28.7,21.5,39.5,14.3,4.9,348,Dust Storm,39.4
1996-01-05,Small Rural (Delhi Outskirts),Extremely Busy,7,Off-Season / Sowing,74,196,3,10,36,24,636,19,1,212,96.8,2,8,Snakebite / Waterborne (Cholera/Typhoid),4.2,53.6,30.0,29.0,9.0,6.3,18.8,99,Heavy Monsoon / Flooded Fields,28.8
1996-01-06,Big Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,125,28,15,100,39,1,45,0,3,15,54.5,10,37,Routine Antenatal / Minor Infection / General Checkup,3.8,44.8,22.0,31.1,32.2,21.3,3.8,103,Clear / Pleasant,28.9
1996-01-06,Small Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,20,39,3,10,5,2,114,1,1,38,61.8,2,3,Routine Antenatal / Minor Infection / General Checkup,3.0,56.3,27.4,15.9,2.9,5.1,18.8,142,Clear / Pleasant,23.7
