ed_pts,ed_beds,admits,hosp_beds,vents,longest_wait,last_wait,nedocs_score
44,40,6,350,2,2.17,1.07,119.52
40,40,0,350,2,2.69,0.76,99.39
22,40,5,350,1,1.65,1.28,57.92
36,40,6,350,2,0.79,0.77,99.38
24,40,2,350,1,2.53,1.4,58.56
25,40,2,350,2,3.49,1.02,72.85
41,40,1,350,0,1.91,1.44,79.56
38,40,6,350,1,1.5,1.24,93.58
33,40,6,350,0,3.21,1.13,70.43
21,40,2,350,2,1.8,1.02,62.7
44,40,5,350,1,1.84,0.83,102.74
34,40,2,350,1,1.0,0.84,75.43
27,40,3,350,2,3.12,0.43,75.18
22,40,2,350,1,3.01,1.0,52.46
23,40,0,350,0,3.14,0.61,35.7
26,40,2,350,1,2.18,0.55,57.73
27,40,4,350,1,2.98,0.66,64.67
36,40,5,350,1,3.48,1.02,88.18
27,40,4,350,0,3.25,1.32,55.24
35,40,5,350,0,1.02,1.22,71.48
45,40,1,350,2,1.81,1.16,113.26
21,40,3,350,0,1.85,1.22,38.79
30,40,0,350,1,1.52,0.74,63.34
35,40,4,350,2,0.99,0.79,94.11
43,40,3,350,0,1.6,0.98,84.39
36,40,2,350,2,2.51,1.19,96.49
38,40,2,350,1,3.03,1.08,87.25
37,40,3,350,0,2.32,0.53,69.65
24,40,2,350,0,2.15,0.26,38.37
42,40,5,350,2,3.19,1.4,116.32
41,40,4,350,2,2.42,0.54,106.9
38,40,3,350,1,3.39,0.48,85.91
34,40,6,350,0,2.13,1.22,72.08
38,40,0,350,2,1.36,1.42,97.58
26,40,2,350,2,1.71,1.41,75.54
45,40,5,350,0,1.59,0.34,88.49
35,40,0,350,2,2.19,1.27,91.07
32,40,6,350,2,0.61,0.46,88.89
35,40,4,350,1,3.2,1.14,84.74
22,40,3,350,2,1.95,1.3,68.28
25,40,2,350,0,1.57,0.44,41.0
43,40,2,350,2,1.59,0.29,105.58
30,40,3,350,2,1.82,1.39,85.83
40,40,4,350,2,3.47,0.97,108.16
42,40,2,350,1,2.79,1.14,95.94
28,40,0,350,1,2.05,0.74,59.54
44,40,0,350,2,3.37,0.48,107.02
29,40,5,350,2,2.6,0.94,85.3
25,40,0,350,2,2.82,1.09,69.2
40,40,5,350,1,1.85,1.39,97.33
40,40,2,350,0,2.93,1.35,79.57
24,40,1,350,2,1.8,0.35,63.64
33,40,4,350,0,2.37,1.08,65.94
32,40,1,350,0,1.26,1.08,57.62
41,40,5,350,0,2.18,0.6,81.93
33,40,5,350,1,2.74,0.35,77.28
32,40,4,350,1,2.06,1.34,78.37
37,40,2,350,1,3.1,1.46,87.31
36,40,0,350,0,1.24,0.95,63.73
25,40,0,350,0,2.18,0.26,37.12
24,40,3,350,2,3.06,0.68,70.1
36,40,6,350,2,0.83,0.45,97.62
26,40,0,350,2,2.93,0.66,69.02
33,40,6,350,1,2.25,0.39,78.76
26,40,3,350,0,0.79,1.48,49.99
29,40,6,350,0,2.42,1.11,61.0
28,40,5,350,1,1.17,0.73,67.24
35,40,5,350,0,0.76,0.42,66.72
22,40,5,350,1,2.76,1.03,57.54
38,40,0,350,1,1.49,1.38,84.08
27,40,6,350,1,0.98,0.43,64.94
28,40,6,350,0,2.06,1.03,58.07
24,40,4,350,2,2.46,1.21,74.25
35,40,5,350,2,3.23,0.97,98.92
33,40,0,350,0,1.72,0.34,54.3
