ed_pts,ed_beds,admits,hosp_beds,vents,longest_wait,last_wait,nedocs_score,ambient_noise_db,arrival_velocity,equipment_chaos_index,target
44,40,6,350,2,2.17,1.07,127.0,71.6,0.14,0.7,119.8
40,40,0,350,2,2.69,0.76,130.3,74.3,0.46,2.6,130.1
22,40,5,350,1,1.65,1.28,115.2,62.8,0.43,1.9,128.7
36,40,6,350,2,0.79,0.77,114.1,60.9,0.39,1.8,122.7
24,40,2,350,1,2.53,1.4,115.6,62.6,0.21,1.3,207.3
25,40,2,350,2,3.49,1.02,110.6,58.7,0.43,2.9,154.0
41,40,1,350,0,1.91,1.44,199.6,60.0,0.11,0.8,103.6
38,40,6,350,1,1.5,1.24,137.4,67.0,0.23,1.5,94.5
33,40,6,350,0,3.21,1.13,99.2,67.5,0.31,8.9,175.4
21,40,2,350,2,1.8,1.02,85.8,58.7,0.45,2.0,218.2
44,40,5,350,1,1.84,0.83,139.6,72.2,0.38,1.8,148.4
34,40,2,350,1,1.0,0.84,204.4,66.8,0.49,0.5,89.2
27,40,3,350,2,3.12,0.43,136.4,68.1,0.18,2.8,83.9
22,40,2,350,1,3.01,1.0,80.1,69.6,0.45,0.6,98.6
23,40,0,350,0,3.14,0.61,71.4,61.7,0.1,0.9,103.6
26,40,2,350,1,2.18,0.55,89.8,65.9,0.21,1.0,127.2
27,40,4,350,1,2.98,0.66,98.9,63.2,0.44,1.4,173.8
36,40,5,350,1,3.48,1.02,120.6,62.5,1.01,7.6,145.4
27,40,4,350,0,3.25,1.32,162.3,54.7,0.25,2.6,165.4
35,40,5,350,0,1.02,1.22,103.6,67.4,0.15,7.4,91.2
45,40,1,350,2,1.81,1.16,152.6,69.2,0.5,2.5,114.6
21,40,3,350,0,1.85,1.22,63.1,52.6,0.38,0.4,141.7
30,40,0,350,1,1.52,0.74,98.4,63.0,0.25,0.2,108.4
35,40,4,350,2,0.99,0.79,134.6,77.1,0.29,2.6,250.0
43,40,3,350,0,1.6,0.98,103.9,69.0,0.37,0.8,142.8
36,40,2,350,2,2.51,1.19,250.0,74.1,0.17,1.3,111.9
38,40,2,350,1,3.03,1.08,134.4,62.9,0.26,0.5,66.2
37,40,3,350,0,2.32,0.53,104.8,59.0,0.36,1.6,162.7
24,40,2,350,0,2.15,0.26,60.6,57.4,0.43,1.7,158.9
42,40,5,350,2,3.19,1.4,151.7,66.4,0.3,0.6,107.8
